what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1346792989795
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1346792989796
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1346792989797
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1346792989798
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1346792989799
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1346792989800
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1346792989801
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1346792989802
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1346792989804
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1346792989806
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1346792989807
started,bundle,org.eclipse.jst.jsf.common,1.1.9.v201001271707,"org.eclipse.jst.jsf.common",1346792989810
started,bundle,org.eclipse.jst.jsf.core,1.2.5.v201001271707,"org.eclipse.jst.jsf.core",1346792989811
started,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1346792989812
started,bundle,org.eclipse.uml2.uml,3.0.1.v200908281330,"org.eclipse.uml2.uml",1346792989816
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1346792989816
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1346792989816
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1346792989816
os,sysinfo,,,"win32",1346792989820
arch,sysinfo,,,"x86",1346792989820
ws,sysinfo,,,"win32",1346792989820
locale,sysinfo,,,"pt_BR",1346792989820
processors,sysinfo,,,"2",1346792989820
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346792989820
java.runtime.version,sysinfo,,,"1.6.0_34-b04",1346792989820
java.specification.name,sysinfo,,,"Java Platform API Specification",1346792989820
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346792989820
java.specification.version,sysinfo,,,"1.6",1346792989820
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1346792989820
java.version,sysinfo,,,"1.6.0_34",1346792989820
java.vm.info,sysinfo,,,"mixed mode",1346792989820
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1346792989820
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346792989820
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346792989820
java.vm.specification.version,sysinfo,,,"1.0",1346792989820
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1346792989820
java.vm.version,sysinfo,,,"20.9-b04",1346792989820
started,bundle,org.eclipse.emf.validation,1.3.0.v200901271722,"org.eclipse.emf.validation",1346792989911
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1346792989936
started,bundle,eclipseme.core.hooks,1.6.5,"eclipseme.core.hooks",1346792989945
started,bundle,eclipseme.core,1.7.9,"eclipseme.core",1346792989949
started,bundle,eclipseme.ui,1.7.8,"eclipseme.ui",1346792989953
started,bundle,org.eclipse.wb.core.lib,0.9.0.r35x201105061447,"org.eclipse.wb.core.lib",1346792989969
started,bundle,org.eclipse.wb.core,0.9.0.r35x201105061447,"org.eclipse.wb.core",1346792989999
started,bundle,org.eclipse.wb.core.xml,0.9.0.r35x201105061502,"org.eclipse.wb.core.xml",1346792990059
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1346792990067
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1346792990127
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.artifact.repository",1346792999442
started,bundle,org.eclipse.equinox.p2.console,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.console",1346792999558
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1346793289558
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1346793289642
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1346793289665
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1346793289712
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1346793290580
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1346793290589
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1346793290658
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1346793293740
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1346793298373
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1346793298384
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1346793306308
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1346793306320
started,bundle,org.eclipse.mtj.core.hooks,1.0.0.v200909181641,"org.eclipse.mtj.core.hooks",1346793306322
started,bundle,org.eclipse.mtj.core,1.1.0.v200909181641,"org.eclipse.mtj.core",1346793306358
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1346793308089
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1346793308546
started,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1346793309213
opened,view,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1346793309567
activated,perspective,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavaPerspective",1346793309629
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1346793311760
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1346793315603
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1346793315722
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1346793319983
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1346793321149
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1346793321294
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1346793321714
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1346793321715
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1346793321716
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.202.v200904271449,"org.eclipse.wst.wsdl.ui",1346793321720
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1346793321723
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.0.v20090525,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1346793321724
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.1.4.v20100203,"org.eclipse.jst.pagedesigner.jsf.ui",1346793321725
stopped,bundle,org.eclipse.jst.pagedesigner,1.2.3.v20100211,"org.eclipse.jst.pagedesigner",1346793321727
stopped,bundle,org.eclipse.jst.jsf.ui,1.2.3.v201001271707,"org.eclipse.jst.jsf.ui",1346793321728
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.200.v200904140255,"org.eclipse.wst.jsdt.web.support.jsp",1346793321729
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1346793321731
